dataset,missing_type,missing_rate,variant,seed,batches,route_entropy,route_effective_groups,out_a_norm,out_b_norm,out_ab_cosine,proj_a_weight_norm,proj_b_weight_norm,gate_mean,gate_std,gate_group_mean,route_top1_counts
Weather,continuous_segment,0.5,mgate,2025,5,0.9514803290367126,2.397148609161377,9.977839851379395,11.875073623657226,0.2943694829940796,,,0.42477111220359803,0.018860138207674026,0.4256|0.4257|0.4253|0.4225,6.0000|0.0000|12.0000|3.0000
Weather,continuous_segment,0.7,mgate,2024,5,1.009000301361084,2.5655910968780518,11.617643356323242,8.86878776550293,0.23150083422660828,,,0.46929537653923037,0.08934761136770249,0.4603|0.4629|0.4649|0.4890,2.0000|8.0000|11.0000|0.0000
Weather,continuous_segment,0.7,mgate,2025,5,0.9987215399742126,2.5644569396972656,10.642781829833984,9.99565372467041,0.2091023087501526,,,0.46762687563896177,0.13676128685474395,0.4622|0.4637|0.4651|0.4794,2.0000|8.0000|5.0000|6.0000
Weather,random_point,0.5,mgate,2024,5,0.790675699710846,1.9305589199066162,12.05577220916748,10.836917495727539,0.18187146186828612,,,0.43311135172843934,0.05574064180254936,0.4375|0.4383|0.4380|0.4187,9.0000|6.0000|3.0000|3.0000
Weather,random_point,0.5,mgate,2025,5,0.7339140176773071,1.938551425933838,12.776117324829102,12.910507583618164,0.1841759353876114,,,0.4543959379196167,0.05657393857836723,0.4591|0.4588|0.4587|0.4409,9.0000|1.0000|7.0000|4.0000
Electricity,continuous_segment,0.5,sgate,2024,5,0.7004188299179077,1.9086681604385376,14.22670955657959,8.946234321594238,-0.02092874012887478,,,0.41890352964401245,0.0,0.4189|0.4189|0.4189|0.4189,48.0000|70.0000|153.0000|50.0000
Electricity,continuous_segment,0.5,sgate,2025,5,0.4645242989063263,1.4696987867355347,13.94972267150879,12.283380699157714,-0.04410579651594162,,,0.4202870726585388,0.0,0.4203|0.4203|0.4203|0.4203,102.0000|68.0000|94.0000|57.0000
Electricity,random_point,0.5,sgate,2024,5,0.8488391041755676,2.179839611053467,13.355143165588379,8.211373710632325,-0.043510348349809644,,,0.48447370529174805,0.0,0.4845|0.4845|0.4845|0.4845,105.0000|61.0000|103.0000|52.0000
Electricity,random_point,0.5,sgate,2025,5,0.7754063010215759,1.9579771757125854,16.813779067993163,11.775841331481933,-0.15183278322219848,,,0.434127539396286,0.0,0.4341|0.4341|0.4341|0.4341,104.0000|96.0000|50.0000|71.0000
Traffic,continuous_segment,0.7,sgate,2024,5,0.7549898624420166,1.9103530645370483,15.77304515838623,10.335699272155761,-0.18107008635997773,,,0.43128249049186707,0.0,0.4313|0.4313|0.4313|0.4313,116.0000|257.0000|337.0000|152.0000
Traffic,continuous_segment,0.7,sgate,2025,5,0.7292162775993347,1.8853195905685425,16.170193481445313,10.304588508605956,-0.2687855839729309,,,0.4531993865966797,0.0,0.4532|0.4532|0.4532|0.4532,304.0000|284.0000|137.0000|137.0000
Traffic,random_point,0.3,sgate,2024,5,0.9716084003448486,2.3783295154571533,16.857680130004884,13.693792915344238,-0.23230440318584442,,,0.4555813670158386,0.0,0.4556|0.4556|0.4556|0.4556,203.0000|195.0000|317.0000|147.0000
Traffic,random_point,0.3,sgate,2025,5,0.9574409127235413,2.3281283378601074,15.918155288696289,11.824167442321777,-0.1247434914112091,,,0.4417707622051239,0.0,0.4418|0.4418|0.4418|0.4418,203.0000|230.0000|296.0000|133.0000
Traffic,random_point,0.5,sgate,2024,5,0.8517298698425293,2.1025638580322266,18.497882843017578,13.043012046813965,-0.2738193839788437,,,0.4417102336883545,0.0,0.4417|0.4417|0.4417|0.4417,213.0000|158.0000|289.0000|202.0000
Traffic,random_point,0.5,sgate,2025,5,0.9393599629402161,2.3310012817382812,18.432907485961913,15.768514823913574,-0.30679481029510497,,,0.45691582560539246,0.0,0.4569|0.4569|0.4569|0.4569,262.0000|194.0000|242.0000|164.0000
Traffic,random_point,0.7,sgate,2024,5,0.8876819610595703,2.2114017009735107,18.07751350402832,13.261098289489746,-0.29409037828445433,,,0.4474032521247864,0.0,0.4474|0.4474|0.4474|0.4474,203.0000|187.0000|292.0000|180.0000
Traffic,random_point,0.7,sgate,2025,5,0.9505621790885925,2.3351242542266846,17.149842834472658,14.437020301818848,-0.229293030500412,,,0.4672728180885315,0.0,0.4673|0.4673|0.4673|0.4673,137.0000|300.0000|238.0000|187.0000
Weather,continuous_segment,0.3,sgate,2024,5,1.0531681776046753,2.782677173614502,11.540157890319824,11.514751625061034,0.23444584310054778,,,0.5017297267913818,0.0,0.5017|0.5017|0.5017|0.5017,9.0000|0.0000|12.0000|0.0000
Weather,continuous_segment,0.3,sgate,2025,5,1.0576075315475464,2.787487745285034,10.35994358062744,14.40713005065918,0.21210935413837434,,,0.5005497932434082,0.0,0.5005|0.5005|0.5005|0.5005,9.0000|1.0000|8.0000|3.0000
Weather,continuous_segment,0.5,sgate,2024,5,1.018452763557434,2.5581655502319336,10.3797025680542,12.383140563964844,0.1743929773569107,,,0.4899507164955139,0.0,0.4900|0.4900|0.4900|0.4900,9.0000|0.0000|12.0000|0.0000
Weather,continuous_segment,0.5,sgate,2025,5,1.0325369834899902,2.695464849472046,9.663747215270996,14.605904960632325,0.20600666999816894,,,0.48852723836898804,0.0,0.4885|0.4885|0.4885|0.4885,7.0000|2.0000|6.0000|6.0000
Weather,continuous_segment,0.7,sgate,2024,5,1.022112488746643,2.6970205307006836,11.12896556854248,11.148219299316406,0.1705855369567871,,,0.49707913398742676,0.0,0.4971|0.4971|0.4971|0.4971,0.0000|11.0000|5.0000|5.0000
Weather,continuous_segment,0.7,sgate,2025,5,1.0835344791412354,2.7931032180786133,8.391803550720216,9.393983840942383,0.13149023801088333,,,0.48927730321884155,0.0,0.4893|0.4893|0.4893|0.4893,10.0000|0.0000|2.0000|9.0000
Weather,random_point,0.5,sgate,2024,5,0.9276393055915833,2.476287841796875,11.00576400756836,11.026595306396484,0.22073126435279847,,,0.48927927017211914,0.0,0.4893|0.4893|0.4893|0.4893,3.0000|11.0000|2.0000|5.0000
Weather,random_point,0.5,sgate,2025,5,0.9002605080604553,2.1789958477020264,13.261799240112305,14.739591598510742,0.23591403365135194,,,0.49831002950668335,0.0,0.4983|0.4983|0.4983|0.4983,5.0000|4.0000|5.0000|7.0000
