dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ExchangeRate,variable_channel,0.1,192,misstsm,iTransformer,none,1.08704742513986,0.20799259486192143,0.7955430809513154,0.09909876286743827,3.6438838353597496,6
ExchangeRate,variable_channel,0.1,192,saits,iTransformer,none,24830368.02685536,56756406.833966464,740.3002462115991,1235.142147889148,212149748.60898829,6
ExchangeRate,variable_channel,0.1,192,simple,iTransformer,linear,0.5586860225382578,0.014035797972227348,0.46776691545923077,0.010263644350807323,3.6438838353597496,6
ExchangeRate,variable_channel,0.1,336,coifnet,iTransformer,none,0.7733916719486046,0.04629165636905468,0.618292471712774,0.03160300246993216,3.91317992113732,6
ExchangeRate,variable_channel,0.1,336,crib,iTransformer,none,0.8844821310795106,0.15469650443095923,0.6513602220797324,0.06370841876295069,3.913861694368156,6
ExchangeRate,variable_channel,0.1,336,misstsm,iTransformer,none,1.3553362861946896,0.16666760481480447,0.9109809817494573,0.06188673623150819,3.913861694368156,6
ExchangeRate,variable_channel,0.1,336,saits,iTransformer,none,4840115.358130924,9726553.307611601,310.79003273595026,526.753787091603,44120456.217323445,6
ExchangeRate,variable_channel,0.1,336,simple,iTransformer,linear,0.7100089138692564,0.02669640607349475,0.57599911469597,0.017284915999545264,3.913861694368156,6
ExchangeRate,variable_channel,0.1,720,coifnet,iTransformer,none,1.6991684591770173,0.45962500261505373,0.9655478417873381,0.11702708205496097,4.715903004805247,6
ExchangeRate,variable_channel,0.1,720,crib,iTransformer,none,1.945116804440816,0.6349876333314561,1.0150966068108878,0.15374389822652892,4.717904273668926,6
ExchangeRate,variable_channel,0.1,720,misstsm,iTransformer,none,2.0747286534309386,0.4472858220826883,1.1460072096188862,0.13025989808758665,4.717904273668925,6
ExchangeRate,variable_channel,0.1,720,saits,iTransformer,none,424416.9915793594,799352.9581606353,112.00524501562118,188.15389861569645,3766540.447033489,6
ExchangeRate,variable_channel,0.1,720,simple,iTransformer,linear,1.2066682449976605,0.07278810670838488,0.817487725019455,0.022134858681166086,4.717904273668925,6
ExchangeRate,variable_channel,0.3,96,coifnet,iTransformer,none,0.8652677252498013,0.020668111416339605,0.5417863938134261,0.015015745501014238,3.5957846496435586,6
